region,number_of_people,monthly_usage_liters
Urban,5,13947
Suburban,1,3262
Suburban,3,9481
Suburban,5,15629
Rural,6,20976
Urban,4,11085
Suburban,2,6150
Suburban,5,15322
Rural,5,17304
Urban,4,11272
Urban,2,5604
Rural,1,3510
Urban,5,14092
Suburban,3,9469
Suburban,3,9439
Rural,5,17540
Suburban,4,12520
Suburban,3,9241
Rural,3,10442
Urban,3,8387
Suburban,3,9106
Rural,4,14073
Suburban,2,6180
Suburban,2,6217
Rural,6,20898
Rural,4,14022
Suburban,4,12583
Rural,3,10488
Rural,2,7044
Suburban,6,18515
Urban,3,8401
Rural,1,3397
Rural,6,20975
Suburban,4,12463
Suburban,6,18654
Rural,4,14107
Urban,4,11223
Rural,3,10673
Rural,3,10595
Suburban,6,18634
Urban,6,16798
Urban,4,11384
Suburban,1,3017
Rural,6,21085
Rural,5,17566
Urban,2,5616
Suburban,4,12384
Urban,3,8505
Rural,2,7106
Suburban,3,9383
Urban,6,16935
Urban,5,13853
Urban,1,2842
Rural,5,17391
Rural,1,3562
Urban,5,13824
Rural,1,3322
Rural,2,6977
Rural,3,10397
Suburban,4,12335
Suburban,6,18691
Suburban,5,15405
Suburban,3,9153
Urban,2,5415
Urban,3,8393
Rural,5,17590
Urban,6,16741
Suburban,1,3265
Urban,3,8320
Suburban,6,18695
Suburban,5,15463
Urban,6,16744
Rural,1,3393
Urban,1,2924
Rural,5,17369
Urban,5,13904
Suburban,2,6340
Rural,4,14107
Suburban,2,6141
Rural,6,21061
Urban,3,8222
Suburban,2,6318
Rural,4,14126
Suburban,2,6210
Urban,6,16888
Urban,6,16646
Urban,6,16971
Rural,1,3551
Urban,2,5429
Rural,4,13960
Suburban,4,12543
Urban,2,5731
Rural,2,6812
Urban,6,16767
Suburban,1,3238
Suburban,3,9268
Urban,4,11174
Suburban,3,9467
Rural,2,6977
Urban,5,14162
Rural,1,3448
Urban,2,5470
Rural,3,10479
Suburban,6,18602
Rural,3,10592
Suburban,1,2953
Suburban,3,9209
Rural,1,3579
Suburban,1,2994
Suburban,6,18672
Urban,6,16629
Urban,3,8557
Rural,1,3348
Urban,4,11204
Suburban,6,18589
Rural,3,10482
Urban,5,14002
Suburban,3,9401
Suburban,3,9293
Rural,3,10691
Suburban,3,9217
Urban,2,5559
Suburban,2,6046
Suburban,6,18783
Suburban,5,15672
Rural,4,13979
Urban,2,5543
Urban,2,5543
Suburban,1,3280
Suburban,5,15674
Urban,6,16999
Urban,6,16979
Rural,5,17502
Rural,4,14024
Suburban,3,9212
Suburban,2,6158
Urban,5,13817
Rural,3,10360
Rural,6,21036
Urban,2,5514
Suburban,5,15675
Suburban,3,9322
Urban,6,16895
Suburban,6,18585
Urban,5,14018
Urban,3,8582
Rural,6,21128
Urban,3,8323
Suburban,2,6141
Rural,1,3628
Rural,2,6806
Suburban,2,6088
Urban,1,2859
Rural,3,10338
Urban,2,5611
Suburban,1,3247
Suburban,3,9262
Suburban,1,2999
Urban,6,16667
Rural,6,21056
Urban,3,8436
Urban,4,11326
Suburban,3,9239
Rural,4,14015
Urban,1,2754
Rural,2,6913
Rural,1,3339
Suburban,2,6096
Urban,2,5444
Urban,6,16874
Urban,6,16645
Rural,2,7021
Urban,4,11250
Rural,5,17557
Urban,1,2894
Urban,5,14039
Rural,5,17359
Rural,4,14166
Rural,6,21085
Suburban,5,15350
Suburban,6,18764
Rural,6,20986
Rural,3,10537
Urban,4,11074
Urban,4,11034
Urban,5,14080
Urban,4,11101
Urban,1,2683
Urban,5,14179
Urban,4,11206
Urban,1,2951
Rural,4,14120
Suburban,4,12292
Urban,4,11386
Rural,6,20832
Urban,1,2933
Suburban,4,12440
Urban,3,8548
Suburban,4,12252
Rural,4,14063
Urban,2,5717
Suburban,3,9122
Suburban,5,15377
Rural,4,13885
Urban,5,14193
Suburban,1,3104
Rural,2,7059
Suburban,6,18617
Suburban,6,18466
Rural,4,14073
Urban,2,5453
Rural,3,10376
Urban,1,2941
Suburban,6,18471
Urban,4,11071
Suburban,4,12476
Urban,2,5533
Suburban,1,3018
Rural,2,6826
Suburban,1,2938
Rural,6,21026
Urban,6,16856
Rural,3,10398
Suburban,1,3159
Urban,3,8323
Suburban,3,9396
Rural,2,7044
Rural,6,21165
Suburban,1,3002
Rural,4,14015
Rural,1,3591
Urban,1,2895
Rural,4,14164
Suburban,1,2963
Suburban,5,15435
Suburban,2,6276
Rural,1,3331
Urban,4,11053
Urban,5,13844
Suburban,2,6221
Suburban,2,6358
Rural,1,3662
Rural,3,10628
Suburban,5,15670
Rural,2,7024
Rural,5,17568
Urban,2,5470
Urban,4,11103
Rural,6,21188
Urban,1,2715
Suburban,5,15644
Rural,4,14162
Urban,5,14057
Rural,5,17459
Rural,4,14018
Urban,6,16996
Suburban,2,6291
Urban,4,11007
Rural,3,10436
Rural,4,13975
Rural,4,14059
Suburban,2,6241
Urban,3,8534
Suburban,3,9330
Urban,6,16688
Suburban,6,18712
Urban,4,11146
Urban,6,16656
Suburban,6,18536
Rural,2,7019
Urban,5,14079
Rural,6,20846
Urban,2,5439
Urban,2,5770
Urban,2,5730
Urban,4,11193
Urban,5,14092
Rural,3,10560
Rural,4,13969
Rural,6,21039
Rural,5,17526
Suburban,4,12576
Rural,4,13903
Urban,3,8238
Suburban,3,9209
Urban,3,8309
Rural,5,17369
Suburban,3,9431
Urban,4,11168
Urban,5,14072
Rural,5,17608
Rural,1,3548
Suburban,4,12401
Urban,2,5419
Suburban,3,9142
Rural,6,20814
Urban,5,14147
Suburban,4,12560
Suburban,1,3071
Rural,3,10676
